,sample_name,sample_material,sample_type,latitude,longitude,elevation_ground,min_depth,max_depth,location_type,location_name,location_comment,Er,Eu,Dy,Zr,Tb,Gd,Zn,Cu,S,Ho,La,Ni,Yb,V,Y,Sm,Ce,Cr,Nd,Sr,Ba,Co,Lu,Pr,Tm,Pt,Hf,Sc,Pd,Th,Nb,Ta,P2O5,SiO2,MnO,CaO,TiO2,Fe2O3,K2O,Cr2O3,FeO,Al2O3,Na2O,MgO
504,LITH03626751-HWD38-176.50,Basalt,Rock,-26.88,120.35,501,0.0,0.0,Unknown,Honeymoon Well,West side min flows,,,,,,,,202.0,4800.0,,,3780.05,,,,,,1652.0,,,,,,,,,,,,,,,0.0,44.6,0.04,0.35,0.03,0.07,0.01,0.24,6.09,0.23,0.08,47.34
505,LITH03626751-AMP-HM-120525-029G,Basalt,Rock,-22.610699,117.915115,855,0.0,0.0,Unknown,Tom Price North,"North of Tom Price Syncline, South Hamersley Basin",4.64,1.2,6.97,197.5,1.08,6.37,95.46,50.96,32.95089,1.6,31.05,0.0,4.16,198.6,39.28,6.37,67.7,45.0,30.17,74.28,196.95,43.16,0.64,7.49,0.63,,5.59,31.82,,10.84,12.61,1.09,0.18,56.73,0.18,9.01,1.15,1.04,0.74,0.00658349,8.43,14.39,3.74,4.34
506,LITH03626751-HWD03-250.00,Basalt,Rock,-26.89,120.38,503,0.0,0.0,Unknown,Honeymoon Well,East side barren flows,,,,,,,16.0,0.0,1100.0,,,3949.82,,,,,,1788.0,,,,,,,,,,,,,,,0.0,44.09,0.04,0.04,0.02,0.02,0.01,0.26,5.95,0.15,0.04,49.01
507,LITH03626751-HWD19-381.60,Basalt,Rock,-26.88,120.35,501,0.0,0.0,Unknown,Honeymoon Well,West side min flows,,,,,,,111.0,28.0,2900.0,,,2093.59,,,,,,3453.0,,,,166.0,,,,,,,,,,,0.0,45.99,0.17,5.04,0.41,0.8,0.09,0.5,8.36,7.96,0.08,30.06
508,LITH03626751-HWD38-112.50,Basalt,Rock,-26.88,120.35,501,0.0,0.0,Unknown,Honeymoon Well,West side min flows,,,,,,,,2346.0,15900.0,,,2357.55,,,,,,2378.0,,,,,,,,,,,,,,,0.0,45.75,0.14,4.82,0.01,0.95,0.1,0.34,11.18,0.18,1.81,32.85
509,LITH03626751-FFD084-218.55,Rhyolite,Rock,-32.41,119.69,429,0.0,0.0,Unknown,Flying Fox,"Western, U1",0.7,0.7,1.4,113.0,0.3,2.1,29.0,,100.0,0.2,17.0,,0.8,32.0,7.0,2.3,32.0,,12.0,136.0,40.0,56.0,0.1,3.2,0.1,,,,,,,,0.0,78.05,0.04,1.65,0.25,0.03,1.19,0.0,0.28,16.34,0.3,1.83
510,LITH03626751-AgC027,Dolerite,Rock,-28.0,120.5,513,-672.4,-672.1,Unknown,Agnew-Crusader,"Southern Seismic Line, Mine Corridor, AGNEW GOLD MINING COMPANY PTY LTD",3.59,1.3,5.76,102.18,0.86,4.96,209.58,184.55,2400.0,1.23,7.3,0.0,3.44,335.74,31.03,3.9,18.09,122.0,12.8,123.45,35.34,60.47,0.52,2.63,0.53,0.00087,2.86,39.2,0.00072,0.96,4.24,0.27,0.13,51.11,0.23,12.19,1.39,1.58,0.22,0.02,12.87,13.6,2.49,4.21
512,LITH03626751-21613/4,Basalt,Rock,-27.24,120.53,556,0.0,0.0,Unknown,Mount Keith Monument Unit,Monument Unit,,,,,,,94.95,60.09,51.79607,,,,,,,,,610.0,,,0.0,,,,,,,,,,,,0.0,51.17,0.2,15.35,0.6,1.18,0.06,0.08,9.63,11.99,0.42,9.25
516,LITH03626751-HWD38-143.00,Basalt,Rock,-26.88,120.35,501,0.0,0.0,Unknown,Honeymoon Well,West side min flows,,,,,,,,75.0,3500.0,,,4167.84,,,,,,1654.0,,,,,,,,,,,,,,,0.0,41.93,0.08,0.46,0.03,0.0,0.01,0.24,4.83,0.49,0.34,51.14
518,LITH03626751-BSD019-185.40,Dacite,Rock,-30.39,121.64,374,-185.0,-185.0,Unknown,Black Swan,"Silver Swan, Silver Swan-Cygnet",0.87,0.93,1.86,155.7,0.34,3.09,17.0,,,0.3,27.19,,0.85,45.85,14.93,4.15,57.58,67.0,25.59,126.9,6.39,12.8,0.13,6.61,0.12,,,,,3.62,,,0.42,61.04,0.03,0.7,0.76,0.4,0.17,0.009819664,3.29,18.42,10.11,4.6
519,LITH03626751-HWD19-367.30,Basalt,Rock,-26.88,120.35,501,0.0,0.0,Unknown,Honeymoon Well,West side min flows,,,,,,,111.0,28.0,2000.0,,,2186.46,,,,,,3384.0,,,,139.0,,,,,,,,,,,0.0,51.63,0.11,1.18,0.35,0.67,0.09,0.49,7.44,6.69,0.01,31.04
520,LITH03626751-7-304.52,Basalt,Rock,-32.14,119.79,407,0.0,0.0,Unknown,Mount Hope,,,,,21.0,,,57.0,29.0,0.0,,,868.45,,155.0,9.0,,,1244.0,,145.0,100.0,67.0,,,,,,,,,,,0.0,49.49,0.22,18.1,0.37,1.17,0.21,0.18,9.51,3.74,0.31,16.62
521,LITH03626751-BSD075-198.8,Dacite,Rock,-30.39,121.63,376,-199.0,-199.0,Unknown,Black Swan,"Northern channel, Northern channel",,,,442.38,,,88.0,81.0,,,,544.27,,111.69,30.66,,,,,6.57,522.0,15.0,,,,,,,,,9.0,,0.03,64.35,0.05,0.07,1.15,0.61,2.14,0.01,4.92,13.56,0.2,12.92
522,LITH03626751-AMP-HM-120524-020D,Basalt,Rock,-21.397148,117.15497,329,0.0,0.0,Unknown,Hamersley Basin North,"North Hamersley Basin, North Hamersley Basin",3.43,1.22,5.26,137.96,0.78,5.14,87.79,90.49,83.69274,1.14,25.18,0.0,3.18,201.72,28.74,5.09,50.79,100.0,23.93,201.61,719.71,50.63,0.49,5.93,0.51,,4.18,31.35,,7.75,8.98,0.94,0.12,56.12,0.08,4.96,0.89,1.07,1.33,0.01,8.68,16.26,3.96,6.48
