,sample_name,sample_material,sample_type,latitude,longitude,elevation_ground,min_depth,max_depth,location_type,location_name,location_comment,Er,Eu,Dy,Zr,Tb,Gd,Zn,Cu,S,Ho,La,Ni,Yb,V,Y,Sm,Ce,Cr,Nd,Sr,Ba,Co,Lu,Pr,Tm,Pt,Hf,Sc,Pd,Th,Nb,Ta,P2O5,SiO2,MnO,CaO,TiO2,Fe2O3,K2O,Cr2O3,FeO,Al2O3,Na2O,MgO
652,LITH03626751-r084-31.80-31.97,Basalt,Rock,0.0676612,22.54239,474,-32.0,-32.0,Unknown,Sattaskongas,"Sattaskongas volcanics, Lapland Prot",,,,163.73,,,130.57,121.44,100.0,,,,,329.53,26.94,,,193.0,,135.75,29.01,47.74,,,,,,,,,,,0.22,50.73,0.2,8.93,2.2,1.54,0.41,0.02,12.52,12.67,3.75,6.75
653,LITH03626751-HWD38-132.00,Basalt,Rock,-26.88,120.35,501,0.0,0.0,Unknown,Honeymoon Well,West side min flows,,,,,,,,50.0,7700.0,,,3799.98,,,,,,1667.0,,,,,,,,,,,,,,,0.0,40.77,0.16,1.43,0.06,0.1,0.01,0.24,8.21,0.33,0.38,47.54
655,LITH03626751-HWD32-177.00,Basalt,Rock,-26.89,120.38,503,0.0,0.0,Unknown,Honeymoon Well,East side barren flows,,,,,,,18.0,0.0,1000.0,,,3859.61,,,,,,1790.0,,,,54.0,,,,,,,,,,,0.0,43.18,0.04,0.02,0.02,0.05,0.06,0.26,7.35,0.42,0.08,48.12
656,LITH03626751-LNN009908,Andesite,Rock,-28.58,121.17,426,-180.0,-180.0,Unknown,Sullivans Prospect,"Sullivans Ultramafic Unit, S Central Cumulate Zone, ST BARBARA LTD",,,,135.69,,,,49.73,13100.0,,,0.0,,283.94,,,,546.0,,,0.0,,,,,,,,,,,,0.06,62.47,0.16,2.39,0.98,0.48,2.55,0.07,3.89,22.0,1.89,3.66
657,LITH03626751-HWD26A-239.30,Basalt,Rock,-26.89,120.38,503,0.0,0.0,Unknown,Honeymoon Well,East side barren flows,,,,,,,48.0,0.0,1500.0,,,4122.12,,,,,,1513.0,,,,114.0,,,,,,,,,,,0.0,42.58,0.06,0.02,0.02,0.0,0.05,0.22,5.69,0.24,0.01,50.7
658,LITH03626751-MKD66-208,Andesite,Rock,-27.21,120.54,548,0.0,0.0,Unknown,Mount Keith MKD5 Deposit,"MKD5 pod, Unit 101, BHP BILLITON LTD",,,,,,,40.05,5.01,52.73658,,,,,,,,,85.0,,,0.0,,,,,,,,,,,,0.0,56.48,0.09,3.79,0.89,0.82,1.21,0.01,6.65,18.02,7.37,4.63
659,LITH03626751-HWD38-170.50,Basalt,Rock,-26.88,120.35,501,0.0,0.0,Unknown,Honeymoon Well,West side min flows,,,,,,,,311.0,3000.0,,,4082.35,,,,,,1790.0,,,,,,,,,,,,,,,0.0,42.01,0.04,0.23,0.09,0.0,0.01,0.26,6.04,0.33,0.1,50.31
660,LITH03626751-HWD26A-308.70,Basalt,Rock,-26.89,120.38,503,0.0,0.0,Unknown,Honeymoon Well,East side barren flows,,,,,,,224.0,6.0,1000.0,,,3648.95,,,,,,1032.0,,,,141.0,,,,,,,,,,,0.0,44.85,0.05,0.09,0.02,0.13,0.06,0.15,7.84,0.24,0.05,46.04
661,LITH03626751-BSD097-797.75,Dacite,Rock,-30.39,121.63,376,-798.0,-798.0,Unknown,Black Swan,"Black Swan Orebody, lower felsics",,,,141.53,,,52.0,14.16,,,,,,71.85,14.15,,,46.0,,278.72,260.21,9.8,,,,,,,,,11.0,,0.13,69.78,0.06,4.72,0.52,0.44,1.58,0.006683297,3.59,15.9,1.68,1.53
665,LITH03626751-HWD19-368.70,Basalt,Rock,-26.88,120.35,501,0.0,0.0,Unknown,Honeymoon Well,West side min flows,,,,,,,236.0,,1100.0,,,2174.67,,,,,,2693.0,,,,118.0,,,,,,,,,,,0.0,47.45,0.24,6.53,0.26,0.73,0.07,0.39,8.05,5.11,0.03,30.92
666,LITH03626751-HWD38-321.00,Basalt,Rock,-26.88,120.35,501,0.0,0.0,Unknown,Honeymoon Well,West side min flows,,,,,,,87.0,,300.0,,,2163.98,,,,,,3181.0,,,,,,,,,,,,,,,0.0,45.3,0.15,3.36,0.38,0.93,0.06,0.46,10.25,8.02,0.09,30.8
667,LITH03626751-HWD38-320.50,Basalt,Rock,-26.88,120.35,501,0.0,0.0,Unknown,Honeymoon Well,West side min flows,,,,,,,97.0,,100.0,,,2089.44,,,,,,3458.0,,,,,,,,,,,,,,,0.0,47.93,0.08,1.22,0.41,0.99,0.05,0.5,10.43,8.09,0.11,30.01
668,LITH03626751-HWD38-230.80,Basalt,Rock,-26.88,120.35,501,0.0,0.0,Unknown,Honeymoon Well,West side min flows,,,,,,,,109.0,3900.0,,,3714.49,,,,,,1106.0,,,,,,,,,,,,,,,0.0,40.88,0.23,0.29,0.68,0.07,0.02,0.16,4.98,5.55,0.05,46.69
669,LITH03626751-BSD037F-562.75,Dacite,Rock,-30.39,121.64,374,-563.0,-563.0,Unknown,Black Swan,"Silver Swan, lower felsics",,,,315.82,,,34.0,31.58,200.0,,,,,69.23,21.86,,,225.0,,1560.89,666.87,20.65,,,,,,,,,,,0.81,55.19,0.06,13.73,0.94,0.46,0.77,0.03,3.8,15.22,2.36,6.57
670,LITH03626751-HWD19-376.50,Basalt,Rock,-26.88,120.35,501,0.0,0.0,Unknown,Honeymoon Well,West side min flows,,,,,,,141.0,28.0,200.0,,,2103.13,,,,,,3386.0,,,,113.0,,,,,,,,,,,0.0,45.41,0.18,3.86,0.38,0.97,0.08,0.49,10.32,7.79,0.08,30.16
675,LITH03626751-HWD08-274.80,Basalt,Rock,-26.88,120.35,501,0.0,0.0,Unknown,Honeymoon Well,West side min flows,,,,,,,11.0,0.0,4300.0,,,3952.36,,,,,,1309.0,,,,,,,,,,,,,,,0.0,43.83,0.03,0.04,0.04,0.02,0.04,0.19,5.07,0.81,0.22,49.04
676,LITH03626751-HWD38-262.40,Basalt,Rock,-26.88,120.35,501,0.0,0.0,Unknown,Honeymoon Well,West side min flows,,,,,,,6.0,0.0,2400.0,,,3591.84,,,,,,1862.0,,,,,,,,,,,,,,,0.0,40.36,0.19,6.69,0.04,0.12,0.01,0.27,6.03,0.49,0.01,45.47
677,LITH03626751-HWD26A-295.00,Basalt,Rock,-26.89,120.38,503,0.0,0.0,Unknown,Honeymoon Well,East side barren flows,,,,,,,83.0,70.0,4900.0,,,3275.45,,,,,,1298.0,,,,339.0,,,,,,,,,,,0.0,48.19,0.07,0.9,0.07,0.17,0.09,0.18,5.07,1.34,0.01,42.3
679,LITH03626751-MKD66-141,Basalt,Rock,-27.21,120.54,548,0.0,0.0,Unknown,Mount Keith MKD5 Deposit,"MKD5 pod, Unit 101, BHP BILLITON LTD",,,,,,,84.94,225.04,300.0,,,,,,,,,400.0,,,0.0,,,,,,,,,,,,0.0,50.17,0.18,11.81,0.52,1.17,0.53,0.05,9.53,15.44,1.25,9.27
681,LITH03626751-HWD38-279.90,Basalt,Rock,-26.88,120.35,501,0.0,0.0,Unknown,Honeymoon Well,West side min flows,,,,,,,,227.0,1400.0,,,3459.04,,,,,,1928.0,,,,,,,,,,,,,,,0.0,42.49,0.13,5.66,0.01,0.16,0.03,0.28,6.44,0.24,0.06,44.15
682,LITH03626751-HWD08-320.20,Basalt,Rock,-26.89,120.38,503,0.0,0.0,Unknown,Honeymoon Well,East side barren flows,,,,,,,5.0,0.0,1400.0,,,4111.3,,,,,,1513.0,,,,,,,,,,,,,,,0.0,42.81,0.09,0.25,0.02,0.0,0.01,0.22,5.3,0.34,0.01,50.59
684,LITH03626751-MKD23-427,Andesite,Rock,-27.21,120.54,548,0.0,0.0,Unknown,Mount Keith MKD5 Deposit,MK Unit,,,,,,,75.22,5.01,51.0453,,,,,,,,,5.0,,,0.0,,,,,,,,,,,,0.0,62.67,0.11,4.91,1.02,0.25,0.76,0.000732937,2.02,15.38,8.39,4.45
685,LITH03626751-MKD66-119.3,Basalt,Rock,-27.21,120.54,548,0.0,0.0,Unknown,Mount Keith MKD5 Deposit,"MKD5 pod, Unit 101, BHP BILLITON LTD",,,,,,,79.88,55.02,100.0,,,334.43,,,,,,379.0,,,0.0,,,,,,,,,,,,0.0,47.46,0.27,9.93,0.63,1.45,0.33,0.05,11.75,15.68,2.05,10.34
686,LITH03626751-HWD03-136.00,Basalt,Rock,-26.89,120.38,503,0.0,0.0,Unknown,Honeymoon Well,East side barren flows,,,,,,,59.0,17.0,5100.0,,,3640.52,,,,,,2361.0,,,,134.0,,,,,,,,,,,0.0,44.64,0.2,0.45,0.05,0.12,0.07,0.34,6.18,1.85,0.04,45.96
688,LITH03626751-HWD38-195.30,Basalt,Rock,-26.88,120.35,501,0.0,0.0,Unknown,Honeymoon Well,West side min flows,,,,,,,,63.0,5200.0,,,4171.8,,,,,,1513.0,,,,,,,,,,,,,,,0.0,41.41,0.08,0.64,0.03,0.0,0.01,0.22,5.11,0.28,0.08,51.18
689,LITH03626751-HWD03-090.15,Basalt,Rock,-26.89,120.38,503,0.0,0.0,Unknown,Honeymoon Well,East side barren flows,,,,,,,255.0,385.0,9900.0,,,2092.13,,,,,,3520.0,,,,143.0,,,,,,,,,,,0.0,47.5,0.18,7.22,0.12,0.78,0.07,0.51,7.81,5.87,0.14,30.04
690,LITH03626751-SXB04640,Andesite,Rock,-31.5,119.53,448,-220.0,-220.0,Unknown,Southern Cross Township,"New Zeland Gully, SONS OF GWALIA LTD",,,,150.13,,,,48.65,600.0,,,,,193.17,,,,69.0,,,,,,,,,,,,,,,0.13,59.93,0.12,7.24,0.98,0.94,0.54,0.01,7.62,14.91,3.06,4.51
692,LITH03626751-HWD38-164.50,Basalt,Rock,-26.88,120.35,501,0.0,0.0,Unknown,Honeymoon Well,West side min flows,,,,,,,,113.0,10400.0,,,4133.14,,,,,,1653.0,,,,,,,,,,,,,,,0.0,41.82,0.08,0.15,0.03,0.0,0.01,0.24,4.76,0.36,0.09,50.8
693,LITH03626751-MKD66-227.7,Basalt,Rock,-27.21,120.54,548,0.0,0.0,Unknown,Mount Keith MKD5 Deposit,"MKD5 pod, Unit 101, BHP BILLITON LTD",,,,,,,94.96,120.12,300.0,,,593.68,,,,,,560.0,,,0.0,,,,,,,,,,,,0.0,48.43,0.19,9.72,0.54,1.25,0.65,0.08,10.14,14.48,1.11,13.32
694,LITH03626751-HWD19-384.20,Basalt,Rock,-26.88,120.35,501,0.0,0.0,Unknown,Honeymoon Well,West side min flows,,,,,,,116.0,29.0,3400.0,,,2761.93,,,,,,2777.0,,,,143.0,,,,,,,,,,,0.0,46.1,0.22,2.23,0.22,0.56,0.07,0.4,9.22,3.69,0.03,37.06
695,LITH03626751-HWD38-246.80,Basalt,Rock,-26.88,120.35,501,0.0,0.0,Unknown,Honeymoon Well,West side min flows,,,,,,,,112.0,13100.0,,,4133.03,,,,,,1524.0,,,,,,,,,,,,,,,0.0,43.06,0.03,0.1,0.04,0.00202255,0.01,0.22,3.48,0.76,0.08,50.8
696,LITH03626751-MKD66-132.8,Basalt,Rock,-27.21,120.54,548,0.0,0.0,Unknown,Mount Keith MKD5 Deposit,"MKD5 pod, Unit 101, BHP BILLITON LTD",,,,,,,90.45,120.04,1900.0,,,,,,,,,332.0,,,0.0,,,,,,,,,,,,0.0,48.93,0.17,13.04,0.72,1.22,0.47,0.04,9.89,15.12,1.33,9.13
697,LITH03626751-HWD03-096.40,Basalt,Rock,-26.89,120.38,503,0.0,0.0,Unknown,Honeymoon Well,East side barren flows,,,,,,,201.0,69.0,2700.0,,,3084.23,,,,,,2981.0,,,,143.0,,,,,,,,,,,0.0,44.45,0.25,1.75,0.08,0.4,0.02,0.43,9.11,2.85,0.1,40.36
698,LITH03626751-HWD38-329.00,Basalt,Rock,-26.88,120.35,501,0.0,0.0,Unknown,Honeymoon Well,West side min flows,,,,,,,,344.0,10300.0,,,3460.77,,,,,,1469.0,,,,,,,,,,,,,,,0.0,39.24,0.2,4.22,0.03,0.3,0.03,0.21,9.98,0.84,0.05,44.16
699,LITH03626751-HWD38-262.10,Basalt,Rock,-26.88,120.35,501,0.0,0.0,Unknown,Honeymoon Well,West side min flows,,,,,,,,100.0,3200.0,,,3387.19,,,,,,2004.0,,,,,,,,,,,,,,,0.0,40.76,0.18,7.18,0.03,0.21,0.03,0.29,7.02,0.52,0.03,43.43
700,LITH03626751-HWD38*-315.50,Basalt,Rock,-26.88,120.35,501,0.0,0.0,Unknown,Honeymoon Well,West side min flows,,,,,,,57.0,20.0,800.0,,,2565.21,,,,,,2342.0,,,,,,,,,,,,,,,0.0,48.37,0.11,3.82,0.22,0.47,0.01,0.34,6.8,4.56,0.02,35.02
702,LITH03626751-HWD38-154.00,Basalt,Rock,-26.88,120.35,501,0.0,0.0,Unknown,Honeymoon Well,West side min flows,,,,,,,,106.0,3900.0,,,3647.99,,,,,,2133.0,,,,,,,,,,,,,,,0.0,44.41,0.05,0.51,0.03,0.1,1.34,0.31,5.83,0.5,0.09,46.03
705,LITH03626751-HWD38-217.50,Basalt,Rock,-26.88,120.35,501,0.0,0.0,Unknown,Honeymoon Well,West side min flows,,,,,,,,141.0,8400.0,,,4078.22,,,,,,1791.0,,,,,,,,,,,,,,,0.0,41.67,0.05,0.52,0.03,0.0,0.01,0.26,5.28,0.4,0.08,50.27
707,LITH03626751-MKD66-248.1,Andesite,Rock,-27.21,120.54,548,0.0,0.0,Unknown,Mount Keith MKD5 Deposit,"MKD5 pod, Unit 101, BHP BILLITON LTD",,,,,,,65.82,5.03,1900.0,,,,,,,,,8.0,,,0.0,,,,,,,,,,,,0.0,60.22,0.19,7.39,0.36,0.61,2.31,0.001184125,4.98,17.09,4.35,2.59
708,LITH03626751-MKD19-696,Basalt,Rock,-27.28,120.55,548,0.0,0.0,Unknown,Mount Keith Cliffs Deposit,Cliffs Unit,,,,,,,79.84,70.07,100.0,,,821.41,,,,,,1098.0,,,0.0,,,,,,,,,,,,0.0,52.81,0.19,6.57,0.65,1.17,0.04,0.16,9.52,10.71,2.2,15.9
709,LITH03626751-HWD38-319.50,Basalt,Rock,-26.88,120.35,501,0.0,0.0,Unknown,Honeymoon Well,West side min flows,,,,,,,83.0,5.0,800.0,,,2201.4,,,,,,2626.0,,,,,,,,,,,,,,,0.0,48.17,0.16,4.24,0.25,0.8,0.02,0.38,8.98,5.57,0.01,31.2
710,LITH03626751-HWD38-251.10,Basalt,Rock,-26.88,120.35,501,0.0,0.0,Unknown,Honeymoon Well,West side min flows,,,,,,,,0.0,4600.0,,,3978.44,,,,,,1241.0,,,,,,,,,,,,,,,0.0,45.08,0.04,0.01,0.06,0.01,0.02,0.18,3.91,0.72,0.14,49.29
711,LITH03626751-HWD38-235.50,Basalt,Rock,-26.88,120.35,501,0.0,0.0,Unknown,Honeymoon Well,West side min flows,,,,,,,,76.0,7100.0,,,4058.86,,,,,,1595.0,,,,,,,,,,,,,,,0.0,41.21,0.05,0.14,0.04,0.01,0.01,0.23,6.88,0.59,0.08,50.08
712,LITH03626751-HWD38-137.00,Basalt,Rock,-26.88,120.35,501,0.0,0.0,Unknown,Honeymoon Well,West side min flows,,,,,,,,87.0,6300.0,,,3829.62,,,,,,1654.0,,,,,,,,,,,,,,,0.0,43.04,0.07,0.94,0.02,0.06,0.01,0.24,6.0,0.39,0.34,47.83
713,LITH03626751-HWD03-131.90,Basalt,Rock,-26.89,120.38,503,0.0,0.0,Unknown,Honeymoon Well,East side barren flows,,,,,,,183.0,187.0,1500.0,,,3646.37,,,,,,2556.0,,,,88.0,,,,,,,,,,,0.0,43.75,0.06,0.01,0.04,0.13,0.05,0.37,7.43,1.95,0.01,46.02
716,LITH03626751-HWD38-180.50,Basalt,Rock,-26.88,120.35,501,0.0,0.0,Unknown,Honeymoon Well,West side min flows,,,,,,,,51.0,2800.0,,,4009.88,,,,,,1583.0,,,,,,,,,,,,,,,0.0,42.72,0.04,0.32,0.03,0.009534429,0.01,0.23,6.07,0.28,0.08,49.6
718,LITH03626751-MKD53-270,Andesite,Rock,-27.21,120.54,548,0.0,0.0,Unknown,Mount Keith MKD5 Deposit,"Constriction 1, Constriction 1, BHP BILLITON LTD",,,,,,,35.07,5.01,52.46101,,,,,,,,,140.0,,,0.0,,,,,,,,,,,,0.0,60.79,0.13,6.86,1.05,0.85,0.75,0.02,6.95,14.98,3.32,4.24
719,LITH03626751-HWD19-382.80,Basalt,Rock,-26.88,120.35,501,0.0,0.0,Unknown,Honeymoon Well,West side min flows,,,,,,,91.0,30.0,1000.0,,,2432.58,,,,,,2967.0,,,,121.0,,,,,,,,,,,0.0,42.81,0.32,8.37,0.32,0.58,0.12,0.43,7.63,5.5,0.03,33.64
720,LITH03626751-WAT021-139.5,Dacite,Rock,-27.81,120.7,527,0.0,0.0,Unknown,Perseverance,,,,,,,,91.75,35.75,300.0,,,,,,,,,122.0,,,0.0,20.42,,,,,,,,,,,0.0,64.02,0.09,4.38,0.82,0.69,1.83,0.01,5.61,15.39,3.46,3.46
721,LITH03626751-HWD38-150.50,Basalt,Rock,-26.88,120.35,501,0.0,0.0,Unknown,Honeymoon Well,West side min flows,,,,,,,,37.0,5000.0,,,4133.84,,,,,,1516.0,,,,,,,,,,,,,,,0.0,39.06,0.09,2.48,0.03,0.0,0.01,0.22,5.84,0.49,0.16,50.81
722,LITH03626751-HWD38-129.00,Basalt,Rock,-26.88,120.35,501,0.0,0.0,Unknown,Honeymoon Well,West side min flows,,,,,,,,39.0,6800.0,,,3166.58,,,,,,1732.0,,,,,,,,,,,,,,,0.0,46.48,0.12,2.59,0.03,0.3,0.03,0.25,7.37,0.33,0.51,41.2
723,LITH03626751-HWD38-301.90,Basalt,Rock,-26.88,120.35,501,0.0,0.0,Unknown,Honeymoon Well,West side min flows,,,,,,,,265.0,8400.0,,,3704.81,,,,,,1602.0,,,,,,,,,,,,,,,0.0,43.7,0.09,4.07,0.03,0.08,0.01,0.23,4.41,0.52,0.06,46.6
724,LITH03626751-HWD38-253.70,Basalt,Rock,-26.88,120.35,501,0.0,0.0,Unknown,Honeymoon Well,West side min flows,,,,,,,,0.0,9600.0,,,4048.57,,,,,,1453.0,,,,,,,,,,,,,,,0.0,41.95,0.03,0.01,0.05,0.01,0.04,0.21,5.66,0.74,0.13,49.98
