sample_name,sample_material,sample_type,latitude,longitude,elevation_ground,min_depth,max_depth,location_type,location_name,location_comment,Er,Eu,Dy,Zr,Tb,Gd,Zn,Cu,S,Ho,La,Ni,Yb,V,Y,Sm,Ce,Cr,Nd,Sr,Ba,Co,Lu,Pr,Tm,Pt,Hf,Sc,Pd,Th,Nb,Ta,P2O5,SiO2,MnO,CaO,TiO2,Fe2O3,K2O,Cr2O3,FeO,Al2O3,Na2O,MgO
LITH03626751-HWD26A-260.60,Basalt,Rock,-26.89,120.38,503,0,0,Unknown,Honeymoon Well,East side barren flows,,,,,,,79,477,11600,,,3527.55,,,,,,1247,,,,221,,,,,,,,,,,0,46.43,0.13,1.89,0.24,0.06,0.12,0.18,2.4,2.59,0.02,44.83
LITH03626751-1-052.30,Andesite,Rock,-32.14,119.79,407,0,0,Unknown,Mount Hope,,,,,87,,,75,14,0,,,,,273,25,,,,,150,441,20,,,,,,,,,,,0,57.38,0.1,7.36,1.1,1.3,0.16,0,10.54,12.71,5.23,4.08
LITH03626751-21609/B,Basalt,Rock,-27.24,120.53,556,0,0,Unknown,Mount Keith Monument Unit,Monument Unit,,,,,,,79.94,80.16,52.56491,,,638.22,,,,,,809,,,0,,,,,,,,,,,,0,50.64,0.17,9.44,0.57,1.22,0.08,0.11,9.9,11,2.93,13.83
LITH03626751-AMP-HM-120529-053A,Basalt,Rock,-22.603346,117.84055,747,0,0,Unknown,Pipeline,"North of Tom Price Syncline, South Hamersley Basin",4.78,1.37,7.34,207.9,1.13,7.26,106.01,85.53,200,1.65,32.52,0,4.24,232.6,40.34,6.49,68.23,,32.52,101.07,350.24,43.23,0.66,8.05,0.66,,5.96,33.96,,11.73,13.17,1.13,0.19,61.71,0.15,5.75,1.24,1,0.67,,8.15,13.59,4.3,3.22
LITH03626751-FOD2-153,Basalt,Rock,-32.27,119.74,426,0,0,Unknown,Antimony Nickel,Central,1.4,0.4,2.7,37,0.2,1.8,32,,0,0.4,2.3,,1.6,216,16,1.5,7.6,138,5.8,417,60,36,0.2,1.1,0.1,,,,,0.3,,,0,53.16,0.12,11.18,0.72,0.83,0.22,0.02,6.76,15.1,3.35,8.47
LITH03626751-LMCD005-314.1,Basalt,Rock,-28.49,121.08,454,-342,-342,Unknown,Mount Clifford/Marshall Pool,"Mount Newman, SCOTIA NICKEL LTD",0.4,0.13,0.65,6.95,0.09,0.55,,77.96,600,0.13,0.61,3050.78,0.39,73.05,3.47,0.41,1.6,1720,1.26,30.14,,,0.06,0.24,0.05,0.02494,0.23,,0.01422,,0.34,,0.01,44.25,0.17,2.98,0.16,0.36,0.01,0.25,7.98,3.47,0.04,40.02
LITH03626751-BD01-083.25,Basalt,Rock,-32.5,119.68,393,0,0,Unknown,Boojum,"Western, U1",,,,35,,,82,169,400,,,389.38,,246,22,,,415,,110,2,83,,,,,,,,,,,0,52.26,0.23,12.84,0.8,1.07,0.14,0.06,8.74,11.74,0.93,11.12
LITH03626751-SXB04730,Rhyolite,Rock,-31.07,119.16,407,0,0,Unknown,Bullfinch,Target 07,0.52,0.15,0.68,0,0.1,0.63,,25.44,,0.16,1.26,,0.57,23.59,,0.31,2,1600,1.26,,,110.26,0.08,0.31,0.08,0.06319,0,,0.02633,0.73,,0,0.02,72.81,0.08,0.16,0.02,2.71,0.07,0.23,22,0.88,0.05,0.76
LITH03626751-EG 4548,Dolerite,Rock,-30.78,121.51,280,-600,-600,Unknown,Golden Mile Dolerite,unit6,2.18,0.77,3.45,41.1,0.54,2.92,79.77,370.03,600,0.73,2.43,,1.99,1140.17,20.05,2.21,7.2,,5.98,86.64,80.77,70.58,0.32,1.11,0.31,,1.21,,,0.33,2.1,0.11,0.05,50.02,0.19,8.45,1.69,1.84,0.56,,14.94,12.58,2.73,6.88
LITH03626751-SXB04774,Rhyolite,Rock,-31.45,119.48,414,-69,-69,Unknown,Marvel Loch,SONS OF GWALIA LTD,0.99,0.41,1.77,23.22,0.31,1.67,100.89,,,0.35,8.79,,0.94,58.6,,1.72,20.19,4261,7.37,,,51.18,0.12,2.17,0.14,,0,,,2.82,8.37,0,0.006279243,85.64,0.02,0.09,0.3,0.39,0.03,0.62,3.22,6.99,0.14,2.4
LITH03626751-SD009-184.90,Basalt,Rock,-32.55,119.73,418,0,0,Unknown,Seagull,,,,,32,,,83,22,100,,,730.99,,190,11,,,2078,,24,225,89,,,,,,,,,,,,51.31,0.21,11.8,0.55,1.48,0.18,0.3,12.06,6.14,0.81,15.06
LITH03626751-AMP-HM-120523-019C,Basalt,Rock,-22.442804,117.80739,657,0,0,Unknown,Railroad,"North of Tom Price Syncline, South Hamersley Basin",3.09,1.57,5,135.11,0.82,4.97,98.73,61.68,100,1.12,26.5,0,2.8,196.43,26.39,4.92,52.9,92,24,45.41,246.73,44.1,0.45,6.17,0.43,,4.15,28.06,,7.5,8.73,0.93,0.07,60.7,0.11,7.15,0.78,0.99,1.08,0.01,8.07,14.83,0.7,5.46
LITH03626751-BSD027-554.60iv,Dacite,Rock,-30.39,121.64,374,0,0,Unknown,Black Swan,"Silver Swan, lower felsics",1.14,4.4,4.52,245.71,1.02,11.49,34,42.78,200,0.56,117.35,,0.68,74.56,20.78,18.94,250.6,213,122.24,535.43,547.66,26.89,0.09,30.56,0.13,,,,,16.5,,,0.85,55.25,0.07,14.3,0.89,0.49,1.46,0.03,4.04,14.46,1.58,6.52
LITH03626751-W3-891,Andesite,Rock,-26.74,120.25,494,0,0,Unknown,Wiluna - Lake Way,,,,,61,,,97,101,300,,,,,368,23,,,139,,312,197,72,,,,,,,,,,,,53.03,0.22,8.75,1.68,1.3,0.94,0.02,10.57,15.98,2.98,4.48
LITH03626751-AMP-HM-120520-003A,Basalt,Rock,-23.0958,117.87456,504,0,0,Unknown,Paraburdoo East,"South of Tom Price Syncline, South Hamersley Basin",3.66,1.55,5.19,109.25,0.8,4.87,95.87,76.12,33.48684,1.24,9.03,0,3.19,253.07,28.31,3.72,17.05,336,13.26,50.5,60.98,43.53,0.49,2.82,0.54,,3.01,33.44,,1.89,6.35,0.78,0.21,53.03,0.18,8.91,1.48,1.17,0.21,0.04,9.52,14.77,3.24,7.22
LITH03626751-EG 4604,Dolerite,Rock,-30.78,121.51,280,-444,-444,Unknown,Golden Mile Dolerite,"unit6, KALGOORLIE CONSOLIDATED GOLD MINES PTY LTD",2.08,0.69,3.26,39.54,0.55,2.74,74.4,312.65,1800,0.69,2.12,,1.84,1413.67,19.13,2.12,7.01,32,5.84,142.96,7.12,68.04,0.29,1.07,0.28,,1.16,,,0.1,2.12,0.21,0.04,48.39,0.2,10.4,2.09,1.95,0.04,,15.84,13.11,1.5,6.37
LITH03626751-BSD061-467.40,Dacite,Rock,-30.39,121.63,376,-467,-467,Unknown,Black Swan,"Silver Swan, Silver Swan-Cygnet",0.96,2.52,2.79,176.22,0.6,6.23,60,13.82,3900,0.39,81.66,,0.88,74.14,17.19,9.88,155.8,,64.47,358.89,1825.61,5.31,0.13,18.26,0.12,,,,,13.96,,,0.35,65.19,0.07,2.93,0.67,0.37,2.37,,3.04,17.62,5.42,1.9
LITH03626751-BSD048-281.50,Dacite,Rock,-30.39,121.64,374,-282,-282,Unknown,Black Swan,"Silver Swan, lower felsics, BARMINCO INVESTMENTS PTY LTD",1.03,0.8,1.95,117.02,0.34,2.63,32,28.67,800,0.34,9.17,,1.03,164.07,20.65,3.32,104.4,15,14.34,281.1,20.65,34.4,0.11,3.44,0.11,,,,,2.86,,,0.06,55.89,0.08,8.71,0.51,0.96,0.2,,7.85,15.13,6.05,4.48
LITH03626751-BSD063-323.00,Dacite,Rock,-30.39,121.63,376,-323,-323,Unknown,Black Swan,"Silver Swan, upper felsics",,,,125.37,,,21,15,85.73827,,,,,69.65,13.93,,,11,,228.24,424.34,12.86,,,,,,,,,,,0.17,68.13,0.01,3.38,0.59,0.36,2.26,,2.99,16.45,3.72,1.88
LITH03626751-BSD046-246.70,Dacite,Rock,-30.38,121.64,376,-247,-247,Unknown,Black Swan,"North of SS, LUM S oc",1.16,2.49,3.11,177.47,0.68,6.22,70,15.42,3500,0.46,80.95,,0.97,70.57,17.64,9.96,155.67,,66.42,409.95,392.31,9.25,0.14,18.16,0.17,,,,,14.53,,,0.36,66.66,0.03,1,0.66,0.33,0.58,,2.72,17.67,8.19,1.72
LITH03626751-AMP-HM-120524-020C,Basalt,Rock,-21.396515,117.1547,329,0,0,Unknown,Hamersley Basin North,"North Hamersley Basin, North Hamersley Basin",3.22,1.17,5,125.64,0.76,4.56,87.22,80.11,100,1.1,21.39,0,2.91,188.99,26.06,4.15,43.19,107,19.83,162.71,280.47,50.18,0.48,5.11,0.42,,3.73,29.07,,6.97,8.09,0.83,0.09,55.44,0.11,9.13,0.8,0.99,0.86,0.01,8.07,16.14,2.85,5.46
LITH03626751-BSD037B-538.75M,Dacite,Rock,-30.39,121.64,374,-539,-539,Unknown,Black Swan,"Silver Swan, lower felsics",1.15,1.09,1.78,123.25,0.27,2.12,122,1099,11500,0.3,10.4,,0.84,101.34,9.59,2.25,21.9,,11.5,542.31,159,45,0.13,2.73,0.13,,,,,2.6,,,0.13,35.48,0.11,18.76,0.56,2.24,1.22,,18.15,15.32,1.74,5.78
LITH03626751-AMP-HM-120521-003J,Basalt,Rock,-23.0958,117.87456,504,0,0,Unknown,Paraburdoo East,"South of Tom Price Syncline, South Hamersley Basin",3,0.85,4.67,111.78,0.78,4.32,150.47,46.15,53.79229,1.04,6.77,0,2.84,240.76,24.61,3.1,16.66,324,11.71,28.16,26.22,30.01,0.42,2.52,0.45,,3.22,33.32,,1.88,6.23,0.75,0.2,58.36,0.09,2.78,1.49,0.97,0.12,0.04,7.93,15.97,5.28,6.75
LITH03626751-BSD080-301.85,Dacite,Rock,-30.38,121.64,376,-302,-302,Unknown,Black Swan,"North of SS, lower felsics",0.87,0.87,1.81,67.11,0.29,2.29,49,24.5,,0.3,21.3,,0.76,68.17,14.91,2.98,41.54,35,17.04,371.77,302.53,18.11,0.14,4.47,0.12,,,,,3.51,,,0.14,71.6,0.05,3.5,0.58,0.2,1.42,0.00513787,1.64,17.99,2.15,0.68
LITH03626751-BSD091B-505.70A,Dacite,Rock,-30.39,121.63,376,-506,-506,Unknown,Black Swan,"Silver Swan, Silver Swan-Cygnet",1.3,2.44,3.26,163.36,0.65,6.52,47,43.67,5700,0.5,69.9,,1.07,107.18,16.31,11.18,137.47,184,62.91,234.54,318.05,24.13,0.16,16.31,0.18,,,,,16.89,,,0.25,64.36,0.18,8.55,0.6,0.38,1.57,0.02,3.09,14.78,1.36,4.69
LITH03626751-EG 4632,Dolerite,Rock,-30.78,121.51,280,-455,-455,Unknown,Golden Mile Dolerite,"unit6, KALGOORLIE CONSOLIDATED GOLD MINES PTY LTD",2.08,0.64,3.1,42.69,0.53,2.59,133.57,400.16,800,0.66,2.73,,2.02,1066.37,19.59,1.86,7.55,,6.13,72.58,13.46,67,0.29,1.04,0.3,,1.86,,,0.32,1.86,0.1,0.07,49.55,0.18,7.8,1.72,1.86,0.08,,15.06,14.04,3.15,6.42
LITH03626751-BSD079-113.0,Basalt,Rock,-30.39,121.63,376,-113,-113,Unknown,Black Swan,"Northern flank, Northern flank",,,,25.96,,,94,91,400,,,,,244.01,7.27,,,4926,,57.11,683,99,,,,,,,,,,,,73.18,0.12,0.48,0.55,0.5,2.04,0.72,4.03,13.97,2.46,1.99
LITH03626751-SXB04734,Basalt,Rock,-30.99,119.1,360,-61,-61,Unknown,Bullfinch,"Target 03, SONS OF GWALIA LTD",1.39,0.88,2.47,45.76,0.41,2.68,57.97,16.52,,0.55,6.18,,1.23,98.13,,2.31,5.05,515,9.27,,,57.28,0.18,2.28,0.18,0.13916,0,,0.11339,0.51,0.51,0,0.007216014,53.71,0.15,10.72,0.19,0.89,0.43,0.07,7.28,14.74,2.05,9.7
LITH03626751-WP-83,Basalt,Rock,70.03,25.1,45,0,0,Unknown,Karasjok,Karasjok,1.54,0.61,2.57,,,2.05,,20.57,,,1.54,863.49,1.54,241.98,,1.54,4.63,1781,4.11,,,,,,,0.00977,0.72,,0.00257,0.1,1.74,,0.01,47.22,0.2,11.62,0.63,1.21,0.08,,9.83,10.8,1.79,16.56
LITH03626751-AMP-HM-120521-005,Basalt,Rock,-22.963554,117.43072,430,0,0,Unknown,Rocklea Dome South,"South of Tom Price Syncline, South Hamersley Basin",1.25,0.44,2.1,47.24,0.31,1.91,100.12,34.64,100,0.42,4.38,0,1.18,115.87,11.02,1.48,9.78,5111,6.18,8.54,15.97,133.25,0.21,1.25,0.16,,1.46,15.74,,0.79,2.24,0.56,0.08,45.55,0.17,3.12,0.47,0.95,0.1,0.74,11.24,5.57,0.24,32.2
LITH03626751-EG 4568,Dolerite,Rock,-30.78,121.51,280,-700,-700,Unknown,Golden Mile Dolerite,unit7,2.87,0.9,4.47,61.4,0.73,3.72,86.66,38.33,2600,0.9,3.91,,2.7,1131.92,26.73,3.27,10.78,,8.34,155.78,7.29,85.45,0.42,1.71,0.43,,2.11,,,0.42,2.74,0.1,0.07,49.92,0.24,7.51,2.73,2.18,0.04,,17.68,11.98,1.8,5.8
LITH03626751-23296,Basalt,Rock,-30.19,121.82,365,0,0,Unknown,Binti Binti,Central traverse,,,,56.9,,,117,36,,,,,,218.46,18.29,,,616,,137.17,101,39,,,,,,,,,,,0.06,52.78,0.27,14.13,0.72,1.09,0.16,0.09,8.79,14.78,1.5,5.64
LITH03626751-W155,Andesite,Rock,-26.74,120.25,494,0,0,Unknown,Wiluna - Lake Way,,,,,75,,,41,12,100,,,,,185,19,,,69,,286,106,35,,,,,,,,,,,,60.15,0.11,6.14,0.57,0.89,0.59,0.01,7.28,16.24,3.25,4.72
LITH03626751-AMP-HM-120528-046,Basalt,Rock,-22.957626,117.418304,416,0,0,Unknown,Rocklea Dome South,"South of Tom Price Syncline, South Hamersley Basin",3.94,1.65,6.08,129.49,0.9,5.38,105.47,62.11,31.36919,1.34,13.57,0,3.47,223.47,33.73,4.58,29.44,164,18.58,138.99,97.53,46.94,0.51,4.06,0.59,,3.75,30.28,,2.52,6.16,0.41,0.19,53.3,0.15,8.04,1.12,1.27,0.29,0.02,10.3,15.01,2.95,7.33
LITH03626751-LMCD005-286.8,Basalt,Rock,-28.49,121.08,454,-287,-287,Unknown,Mount Clifford/Marshall Pool,"Mount Newman, SCOTIA NICKEL LTD",0.82,0.22,1.29,17.74,0.18,1.1,,10.04,100,0.27,0.93,2294.44,0.79,140.86,6.65,0.77,2.61,2729,2.25,7.76,,,0.12,0.42,0.11,0.00687,0.55,,0.00709,0.11,0.66,,0.02,45.27,0.16,4.39,0.34,0.78,0.02,0.39,9.29,6.85,0.07,32.18
LITH03626751-BSD092-573.75B,Dacite,Rock,-30.38,121.64,376,-574,-574,Unknown,Black Swan,"North of SS, lower felsics",,,,119.79,,,73,186.76,200,,,,,192.1,16.18,,,185,,421.99,429.54,21.59,,,,,,,,,10,,0.12,58.64,0.07,3.43,1.34,0.79,1.5,0.02,6.4,24.49,1.97,1.17
LITH03626751-AMP-HM-120527-030B,Basalt,Rock,-22.794325,117.85576,668,0,0,Unknown,Tom Price South,"South of Tom Price Syncline, South Hamersley Basin",2.65,1.03,3.83,82.44,0.61,3.42,69.92,48.76,100,0.88,7.93,0,2.31,202.46,21.6,2.71,17.74,593,10.64,329.15,284.49,44.38,0.37,2.38,0.39,,2.19,30.26,,1.32,4.27,0.41,0.12,51.95,0.14,9.3,1,0.98,1.14,0.08,7.96,16.2,2.04,9.1
LITH03626751-SXB04756,Andesite,Rock,-31.49,119.52,433,-18,-18,Unknown,Marvel Loch,Target 33,4.14,1.58,7.21,143.88,1.07,6.34,49.34,114.81,,1.43,25.17,,3.99,189.13,,5.93,48.61,70,24.46,,,42.64,0.55,6.05,0.61,,0,,,4.29,8.18,0,0.16,61.98,0.17,5.07,1.11,1.38,1.03,0.01,11.19,12.69,2.49,2.67
LITH03626751-BSD101-580.90,Dacite,Rock,-30.39,121.65,368,-581,-581,Unknown,Black Swan,"Southern flank, lower felsics",,,,150.04,,,44,11.78,100,,,,,62.15,12.86,,,35,,281.86,452.26,12.86,,,,,,,,,14,,0.13,72.96,0.03,4.54,0.52,0.21,0.78,0.005168999,1.77,15.67,2.45,0.88
LITH03626751-NMD53-257.3,Basalt,Rock,-32.45,119.68,414,0,0,Unknown,New Morning,NEWEXCO SERVICES PTY LTD,1,0.5,1.7,26,0.3,1.4,102,612,36100,0.3,3.4,606,1,135,8,3.2,8.2,4037,4.5,316,7,171,0.1,1,0.1,,,,,0.9,,,,51.2,0.34,21.92,0.39,,0.14,0.59,5.74,5.92,0.2,13.63
LITH03626751-EG 4638,Dolerite,Rock,-30.78,121.51,280,-472,-472,Unknown,Golden Mile Dolerite,"unit6, KALGOORLIE CONSOLIDATED GOLD MINES PTY LTD",1.96,0.57,2.99,40.39,0.5,2.33,87.92,371.22,1600,0.58,2.33,,1.88,1118.5,18.47,1.89,6.67,,5.45,77.01,103.05,70,0.26,1,0.28,,1.55,,,,1.89,0.11,0.06,48.55,0.18,8.98,1.76,1.89,0.9,,15.35,12.96,2.6,6.71
LITH03626751-BSD076-335.70,Dacite,Rock,-30.39,121.65,368,-336,-336,Unknown,Black Swan,"Southern Flank, lower felsics",,,,186.43,,,93,27.98,5600,,,,,75.02,19.32,,,32,,397.87,754.82,19.03,,,,,,,,,11,,0.4,66.94,0.14,6.65,0.57,0.35,0.77,,2.9,15.63,1.87,3.68
LITH03626751-BSD063-266.50,Dacite,Rock,-30.39,121.63,376,-266,-266,Unknown,Black Swan,"Silver Swan, upper felsics",,,,144.75,,,4,2.16,,,,,,49.69,11.88,,,48,,260.33,574.68,6.48,,,,,,,,,,,0.26,67.06,0.03,4.86,0.72,0.22,2.09,0.006946778,1.79,15.97,4.63,2.32
LITH03626751-CFBD2-139,Basalt,Rock,-32.48,119.72,411,0,0,Unknown,Central Belt Forrestania,Central,0.9,0.7,1.5,21,0.2,1.1,34,,100,0.3,2.2,708.18,1.1,148,10,1.5,4.4,2993,2.6,55,388,56,0.2,0.6,0.1,,,,,0.3,,,0,49.44,0.08,5.16,0.4,2.15,1.49,0.43,17.45,7.46,0.95,14.79
LITH03626751-BSD019-394.25,Dacite,Rock,-30.39,121.64,374,-394,-394,Unknown,Black Swan,"Silver Swan, lower felsics",0.9,0.73,1.63,152.92,0.26,2.26,,5.27,,0.31,25.31,,0.92,52.73,11.6,2.63,45.34,5,16.34,334.32,302.68,8.43,0.13,4.64,0.12,,,,,3.9,,,0.19,73.11,0.01,2.42,0.67,0.14,1.71,,1.2,17.46,2.2,0.84
LITH03626751-FGD93-10-309.7,Rhyolite,Rock,-32.23,120.5,350,-310,-310,Unknown,Maggie Hays,Central UM,0.79,0.89,1.69,95.7,0.19,2.19,37.88,,,0.19,14.95,,0.89,58.81,6.97,2.49,29.9,7,12.95,106.67,,4.98,0.09,3.48,0.09,,,,,4.98,,,,76.23,0.05,2.1,0.36,0.24,2.66,,1.99,12.99,2.46,0.86
LITH03626751-BSD023-492.6,Dacite,Rock,-30.39,121.64,374,-493,-493,Unknown,Black Swan,"Silver Swan, lower felsics",0.75,0.98,1.63,161.83,0.3,2.66,13,130.07,100,0.26,21.5,,0.73,93.2,10.24,3.78,50.18,24,23.04,588.94,505.97,2.04,0.12,5.94,0.11,,,,,4.09,,,0.26,73.84,0.01,0.53,0.86,0.2,0.72,,1.69,18.23,2.47,1.13
LITH03626751-AMP-HM-120522-006F,Basalt,Rock,-22.923315,117.36772,437,0,0,Unknown,Rocklea Dome South,"South of Tom Price Syncline, South Hamersley Basin",3.34,1.8,5.13,102.31,0.8,4.8,82.48,59.69,31.36519,1.19,11.06,0,3.01,215.07,29.12,3.7,24.95,800,14.72,162.66,1363.43,51.33,0.46,3.4,0.45,,2.92,28.18,,1.93,5.11,0.52,0.16,55.63,0.18,6.52,1.04,1.1,2.99,0.11,8.95,11.88,0.79,10.67
LITH03626751-AMP-HM-120520-001B,Basalt,Rock,-22.716528,117.81868,746,0,0,Unknown,Tom Price North,"North of Tom Price Syncline, South Hamersley Basin",2.06,0.76,3.26,40.24,0.45,2.76,94.25,109.45,2300,0.72,3.17,0,1.85,252.06,16.73,1.87,8.36,319,6.24,180.99,145.83,52.72,0.3,1.24,0.32,,1.27,40.24,,0.27,2.54,0.52,0.06,49.87,0.21,9.48,0.91,1.29,0.54,0.04,10.48,16.2,2.54,8.51
LITH03626751-SXB04720,Andesite,Rock,-31.54,119.58,432,-48,-48,Unknown,Great Victoria Gold,"Target 20, SONS OF GWALIA LTD",4.04,3.57,8.5,85.49,1.62,11.13,708.99,361.97,,1.55,40.65,,3.83,223.53,,12.6,68.49,65,54.73,,,80.25,0.52,12.92,0.63,,0,,0.00525,2.52,3.15,0,0.04,56.63,0.15,5.03,0.74,1.32,0.49,0.009454838,10.72,17.01,3.52,4.27
LITH03626751-WAM024-248,Basalt,Rock,-27.83,120.72,506,0,0,Unknown,Perseverance,PU South,0.74,0.11,,,0.14,0.81,182.07,78.32,100,0.22,0.46,884.35,0.76,,,0.54,1.38,1457,1.38,,0,104.43,0.11,0.23,0.1,0.01223,,,0.02237,,,,0,45.36,0.26,11.23,0.6,1.46,0.26,0.21,11.86,11.02,1.11,16.54
LITH03626751-EG 4554,Dolerite,Rock,-30.78,121.51,280,-604,-604,Unknown,Golden Mile Dolerite,unit6,2.09,0.58,3.58,43.21,0.54,2.93,109.74,347.56,1400,0.72,2.6,,2.03,1144.96,21.6,2.14,6.78,,6.22,71.95,6.56,75.47,0.31,1.22,0.3,,1.35,,,0.11,2.37,0.11,0.04,49.9,0.2,9.58,1.69,1.84,0.04,,14.95,12.62,2.28,6.79
LITH03626751-BSD015-203.50,Dacite,Rock,-30.39,121.63,376,-204,-204,Unknown,Black Swan,Silver Swan,0.52,1.16,1.39,131.11,0.27,2.74,29,17.19,,0.21,37.61,,0.42,38.68,10.74,4.29,73.08,48,29.55,149.38,1988.22,9.67,0.06,8.38,0.08,,,,,6.44,,,0.13,68.79,0.08,3.68,0.4,0.23,3.64,0.00706832,1.93,16.21,0.56,4.28
LITH03626751-BSD097-732.65,Dacite,Rock,-30.39,121.63,376,-733,-733,Unknown,Black Swan,"Black Swan Orebody, BSP oc",,,,181.6,,,65,5.1,,,,,,54.07,16.32,,,3,,181.6,2028.24,5.1,,,,,,,,,15,,0.27,67.78,0.02,0.38,0.56,0.37,1.96,,3.02,17.82,5.39,2.36
LITH03626751-BSD086-181.80,Dacite,Rock,-30.39,121.63,376,-182,-182,Unknown,Black Swan,"Southern flank, Southern flank",0.58,0.19,0.89,41.39,0.13,0.69,217,64,200,0.17,1.26,,0.6,235.28,13.07,0.47,2.66,6705,1.74,31.59,362,133,0.1,0.35,0.08,,,,,0.27,,,0.01,56.32,0.2,1.64,0.64,1.62,1.32,0.98,13.14,15.72,0.05,8.39
LITH03626751-23298,Dacite,Rock,-30.19,121.82,365,0,0,Unknown,Binti Binti,Southern traverse,,,,148.7,,,61,12,,,,,,104.19,19.22,,,68,,236.7,156,13,,,,,,,,,,,0.14,63.12,0.15,7.79,0.77,0.6,0.08,0.01,4.87,14.7,4.63,3.15
LITH03626751-ACD001-094.5,Dacite,Rock,-30.53,122.08,341,-94,-94,Unknown,Acra,,,,,104.61,,,160,193.38,6300,,,,,168.66,23.48,,,549,,45.9,75.79,35.73,,,,,,,,,,,0.09,68.98,0.12,0.41,0.82,1.04,0.3,0.08,8.44,15.87,0.19,3.61
LITH03626751-BSD079-385.05,Dacite,Rock,-30.37,121.63,381,-385,-385,Unknown,Black Swan,"Northern flank, lower felsics",,,,179.81,,,52,27.17,4500,,,,,47.59,11.63,,,37,,693.87,573.29,11.49,,,,,,,,,,,0.25,67.57,0.04,2.4,0.63,0.27,0.5,0.005410748,2.25,15.99,7.71,2.3
LITH03626751-AMP-HM-120524-020I,Basalt,Rock,-21.395964,117.15457,330,0,0,Unknown,Hamersley Basin North,"North Hamersley Basin, North Hamersley Basin",3.27,0.96,4.97,127.02,0.77,4.53,83.29,78.97,100,1.1,22.59,0,2.93,189.49,27.07,4.44,45.7,107,20.51,202.72,561.52,50.63,0.44,5.24,0.46,,3.85,29.15,,7.01,8.22,0.83,0.1,56.81,0.12,6.77,0.83,1,1.62,0.01,8.11,15.7,3.47,5.41
LITH03626751-AMP-HM-120524-020B,Basalt,Rock,-21.396515,117.1547,329,0,0,Unknown,Hamersley Basin North,"North Hamersley Basin, North Hamersley Basin",1.9,0.69,2.82,86.02,0.49,2.87,237.08,490.9,52.49218,0.62,9.65,0,1.65,152.11,16.36,2.37,19.51,65,10.38,13.42,52.66,34.95,0.25,2.65,0.23,,2.62,15.73,,4.37,5.24,0.62,0.05,72.02,0.06,5.88,0.51,0.81,0.05,0.009441424,6.63,9.64,0.06,4.23
LITH03626751-LNN009910,Andesite,Rock,-28.58,121.17,426,-214.5,-214.5,Unknown,Sullivans Prospect,"Sullivans Ultramafic Unit, S Central Cumulate Zone, ST BARBARA LTD",,,,157.37,,,,138.26,29800,,,0,,288.36,,,,368,,,0,,,,,,,,,,,,0.06,61.85,0.13,1.41,0.98,0.83,2.32,0.05,6.79,22.05,1.27,3.87
LITH03626751-BSD086-414.40,Dacite,Rock,-30.39,121.65,368,-414,-414,Unknown,Black Swan,"Southern flank, lower felsics",0.46,0.82,1.17,85.22,0.21,1.84,29,18.48,61.61261,0.17,16.94,,0.35,57.49,7.18,2.41,31.82,4,13.86,155.04,291.59,20.53,0.06,3.59,0.06,,,,,2.61,,,0.14,74.73,0.04,0.32,0.51,0.23,1.92,,1.93,18.43,1.45,0.25
LITH03626751-WP-58,Basalt,Rock,68.09,24.41,275,0,0,Unknown,Hotinvaara,,1.02,0.4,1.53,,,,,20.41,200,,1.02,565.8,1.02,177.19,,0.51,2.04,1928,2.04,,,,,,,0.02398,0.51,,0.0541,0.1,0.71,,0.02,48.58,0.2,13.26,0.32,0.69,0.26,,5.61,15.82,2.03,13.16
LITH03626751-LJD0017 222.00,Dacite,Rock,-32.25,120.51,359,0,0,Unknown,Maggie Hays,Felsic Vol,1.01,0.8,1.51,,0.2,2.02,,20.14,900,0.4,16.66,,1.01,45.45,,2.52,29.29,14,12.12,,,,,3.23,,,5.95,,,9.94,1.81,0.2,0.24,68.17,0.15,1.62,0.79,0.05,1.49,,0.43,18.07,8.16,0.81
LITH03626751-MKD53-474,Dacite,Rock,-27.21,120.54,548,0,0,Unknown,Mount Keith MKD5 Deposit,"Constriction 1, Constriction 1, BHP BILLITON LTD",,,,,,,25.04,5.01,51.16244,,,,,,,,,80,,,0,,,,,,,,,,,,0,66.48,0.07,7.21,0.63,0.31,0.51,0.01,2.52,14.52,4.95,2.76
LITH03626751-FFD084-219.7,Rhyolite,Rock,-32.41,119.69,429,0,0,Unknown,Flying Fox,"Western, U1",1.1,0.8,1.8,111,0.3,3.2,69,23,1200,0.3,17,,1.1,27,9,2.3,32,,12.5,315,48,62,0.2,3.2,0.2,,,,,,,,0,71.73,0.22,6.43,0.23,0.15,0.74,0,1.27,15.21,0.42,3.62
LITH03626751-AMP-HM-120523-016D,Basalt,Rock,-22.507317,117.67918,643,0,0,Unknown,Railroad,"North of Tom Price Syncline, South Hamersley Basin",4.63,1.36,6.52,120.45,1.07,5.91,117.2,295.12,65.19758,1.56,11.06,0,3.93,265.87,39.71,4.67,20.07,193,17.14,87.14,1648.08,52.26,0.58,3.65,0.59,,3.47,36.89,,1.23,6.29,0.65,0.2,49.99,0.17,5.91,1.72,1.35,5.25,0.02,10.96,15.08,0.15,9.16
