sample_name,sample_material,sample_type,latitude,longitude,elevation_ground,min_depth,max_depth,location_type,location_name,location_comment,Er,Eu,Dy,Zr,Tb,Gd,Zn,Cu,S,Ho,La,Ni,Yb,V,Y,Sm,Ce,Cr,Nd,Sr,Ba,Co,Lu,Pr,Tm,Pt,Hf,Sc,Pd,Th,Nb,Ta,P2O5,SiO2,MnO,CaO,TiO2,Fe2O3,K2O,Cr2O3,FeO,Al2O3,Na2O,MgO
LITH03626751-AMP-HM-120524-022A,Basalt,Rock,-21.403101,117.15542,338,0,0,Unknown,Hamersley Basin North,"North Hamersley Basin, North Hamersley Basin",3.3,1.07,5.09,138.13,0.82,5.03,101.5,88.19,62.8501,1.15,24.27,0,3.07,205.1,29.3,4.47,48.66,100,22.49,261.3,785.57,51.74,0.47,5.68,0.47,,3.97,31.39,,7.56,8.89,0.73,0.12,56.37,0.14,6.72,0.87,1.07,1.6,0.01,8.67,15.46,3.53,5.38
LITH03626751-BYD1-191.35,Basalt,Rock,-32.42,119.73,410,0,0,Unknown,E.J.Moore,"Central, U1",1.2,0.2,2.2,21,0.2,1.7,89,,0,0.3,2,504.74,1.2,48,13,1.5,6.2,70,5.4,2,,10,0.1,0.8,0.1,,,,,,,,0,53.56,0.09,1.2,0.23,3.3,0.03,0.01,26.78,2.16,0.13,12.46
LITH03626751-AMP-HM-120525-029B,Basalt,Rock,-22.61069,117.91528,857,0,0,Unknown,Tom Price North,"North of Tom Price Syncline, South Hamersley Basin",3.1,1.49,5.23,154.68,0.81,5.35,21.94,13.69,73.19885,1.12,31.98,0,2.58,221.57,27.69,5.62,77.86,50,29.89,65.84,66.78,12.54,0.39,7.56,0.43,,4.38,25.08,,8.42,9.82,0.83,0.14,62.87,0.05,13.15,0.87,0.7,0.21,0.007316229,5.74,14.18,0.26,1.76
LITH03626751-BSD027B-593.40,Dacite,Rock,-30.39,121.64,374,-593,-593,Unknown,Black Swan,"Silver Swan, lower felsics",,,,182.54,,,39,33.31,900,,,,,56.76,13.35,,,,,490.85,1480.36,3.33,,,,,,,,,,,0.34,64.85,0.09,6.46,0.66,0.39,2.59,,3.17,17.18,1.48,2.74
LITH03626751-AMP-HM-120527-033A,Basalt,Rock,-22.859205,117.81491,667,0,0,Unknown,Tom Price South,"South of Tom Price Syncline, South Hamersley Basin",3.8,1.54,5.72,153.59,0.94,5.6,79.37,48.57,100,1.29,27.31,0,3.5,211.31,32.67,5.2,55.35,106,25.15,106.79,189.15,44.35,0.51,6.52,0.52,,4.43,30.92,,8.41,9.79,0.82,0.14,57.85,0.12,7,0.95,0.93,0.46,0.01,7.54,15.64,4,5.29
LITH03626751-BSD048-276.70,Dacite,Rock,-30.39,121.64,374,-277,-277,Unknown,Black Swan,"Silver Swan, Silver Swan-Cygnet, BARMINCO INVESTMENTS PTY LTD",,,,123.83,,,11,107.09,2600,,,,,111.02,9.6,,,23,,181.47,202.82,19.08,,,,,,,,,,,0.13,68.83,0.02,3.24,0.56,0.34,1.07,,2.76,15.66,5.7,1.62
LITH03626751-BSD091B-491.65,Dacite,Rock,-30.39,121.63,376,-492,-492,Unknown,Black Swan,"Silver Swan, Silver Swan-Cygnet",,,,146.11,,,45,12.49,900,,,,,117.93,20.87,,,67,,203.52,259.88,66.65,,,,,,,,,15,,0.28,65.76,0.01,0.89,1.01,0.25,2.13,0.009762738,2.08,23.9,2.29,1.33
LITH03626751-DD10-108.6,Basalt,Rock,-26.74,120.25,494,0,0,Unknown,Wiluna - Lake Way,,,,,3,,,35,136,200,,,451.11,,112,3,,,1239,,355,160,58,,,,,,,,,,,,49.01,0.14,10.97,0.13,0.61,0.98,0.18,5,19.42,1.67,11.84
LITH03626751-BSD097-756.35,Dacite,Rock,-30.39,121.63,376,-756,-756,Unknown,Black Swan,"Black Swan Orebody, BSP oc",,,,186.81,,,89,8.58,400,,,,,65.49,18.25,,,,,523.94,1358.16,6.43,,,,,,,,,16,,0.34,64.05,0.08,3.82,0.66,0.46,2.6,,3.77,17.17,5.51,1.48
LITH03626751-BSD016-364.50,Dacite,Rock,-30.39,121.64,374,-364,-364,Unknown,Black Swan,"Silver Swan, lower felsics",,,,135.73,,,10,79.91,100,,,,,129.16,9.85,,,20,,699.48,330.58,18.6,,,,,,,,,,,0.21,69.83,0.02,4.77,0.75,0.3,0.99,,2.46,16.31,2.26,2.04
